
country,area_name,aoi_category,longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_NDVI,s2_EVI,s2_NDWI
Brazil,Amazonas,Stable_Forest,-56.34408633478042,-11.455091924271109,2019,197.978134,174.5,214.5,371.5,213.0,708.5,2497.0,3142.0,3003.0,3390.5,3199.5,1342.0,530.5,63.0,2311.5,4.0,22.0,38.5,22.5,0.8675373196601868,2.6091835780417094,-0.7798192501068115
Brazil,Amazonas,Stable_Forest,-61.37555024113386,-11.401013344167113,2019,20.06334686279297,399.5,384.5,722.0,535.5,1465.5,2557.0,2920.5,2750.0,3343.5,3375.0,2443.5,1347.5,75.0,2709.0,4.0,55.0,75.0,38.0,0.6740221977233887,1.7973378784189595,-0.5841013789176941
Brazil,Amazonas,Stable_Forest,-55.30455588799731,-9.24496683075185,2019,56.772987365722656,221.0,270.0,412.0,297.0,749.0,2062.0,2522.0,2293.0,2856.0,2881.0,1516.0,662.0,62.0,2431.0,4.0,31.0,42.0,26.0,0.7706563472747803,2.432959531935641,-0.6953788995742798
Brazil,Amazonas,Stable_Forest,-63.69868339739536,-7.910519476192301,2019,154.000397,259.0,248.0,416.0,234.0,719.0,2079.0,2654.0,2752.0,3026.0,3052.0,1439.0,570.0,78.0,3527.0,4.0,24.0,43.0,26.0,0.8432685732841492,2.740531127557684,-0.7373737096786499
Brazil,Amazonas,Stable_Forest,-64.29588339827801,-8.5929695975379,2019,110.756508,208.0,212.0,338.5,203.0,677.5,2001.0,2566.5,2543.0,2894.5,2822.5,1240.0,482.5,65.0,3487.0,4.0,20.5,36.0,21.0,0.8521485924720764,2.6933701657458564,-0.7650529146194458
Brazil,Amazonas,Stable_Forest,-59.97444789249264,-5.330917306314682,2019,89.893097,277.0,249.0,359.0,199.0,616.0,2069.0,2793.0,2429.0,3015.0,3206.0,1330.0,496.0,72.0,4055.0,4.0,21.0,37.0,28.0,0.8485540151596069,3.1739254198690574,-0.7424677014350891
Brazil,Amazonas,Stable_Forest,-55.90777460128357,-6.067266344707454,2019,264.244476,182.0,214.0,408.0,203.0,643.0,2112.0,2713.0,2876.0,3028.0,2795.0,1356.0,523.0,69.0,3281.0,4.0,21.0,42.0,22.0,0.8681390285491943,2.683734939759036,-0.7515225410461426
Brazil,Amazonas,Stable_Forest,-62.47787292627692,-10.545637530628504,2019,53.743614196777344,287.0,288.5,612.0,377.0,1113.5,2441.0,2944.5,3342.0,3330.5,3057.5,2225.5,1167.0,73.0,3183.5,4.0,38.5,62.0,29.5,0.7972573041915894,2.1540138031238647,-0.6904400587081909
Brazil,Amazonas,Stable_Forest,-58.7843598040911,-7.076433734887324,2019,312.538269,166.5,221.5,348.0,217.5,569.5,1867.5,2322.0,2366.0,2687.0,2781.0,1263.5,498.5,65.0,3570.5,4.0,22.5,35.5,23.5,0.8316237926483154,2.671266940196444,-0.7435519695281982
Brazil,Amazonas,Stable_Forest,-56.07854433679469,-7.289693783337299,2019,269.784882,170.0,230.91666666666669,421.125,245.5,617.4166666666667,2010.4,2530.0,2777.0,2860.0,2841.5,1260.0,511.5,64.0,2887.25,4.0,25.5,43.0,24.0,0.8375517129898071,2.5122810499677466,-0.7366425395011902
Brazil,Amazonas,Stable_Forest,-60.50894548654376,-9.354651126942843,2019,1.1715970039367676,412.0,561.5,791.0,1000.0,1442.0,1951.5,2202.5,2373.5,2593.5,2635.5,3416.5,2274.0,75.0,2939.0,5.0,102.0,82.0,57.5,0.4071439206600189,0.8247763165795953,-0.5000789761543274
Brazil,Amazonas,Stable_Forest,-60.55565788131797,-7.9477995604832605,2019,293.648254,202.0,230.5,389.5,219.0,646.5,2052.5,2624.0,2552.0,2947.5,3002.5,1393.5,560.0,62.0,3345.0,4.0,22.5,40.0,24.0,0.841934323310852,2.727697883783468,-0.7351691126823425
Brazil,Amazonas,Stable_Forest,-57.385593075188595,-8.498107503534879,2019,168.472473,170.0,168.0,313.0,149.0,595.0,2239.0,2966.0,2960.0,3231.0,3290.0,1449.0,577.0,64.0,2852.0,4.0,16.0,32.0,17.0,0.9041492342948914,2.708092485549133,-0.8087381720542908
Brazil,Amazonas,Stable_Forest,-58.304659442371275,-8.689628322109161,2019,280.678436,208.5,235.5,424.0,190.5,708.0,2722.0,3649.0,3522.0,3977.5,3953.5,1536.5,605.5,104.0,3172.0,4.0,20.5,44.5,25.5,0.8973737359046936,2.8722303646866107,-0.7850988507270813
Brazil,Amazonas,Stable_Forest,-63.034648739374205,-4.867206956652185,2019,104.591759,255.5,274.0,462.5,237.5,792.0,2493.0,3223.5,3367.5,3593.5,3396.0,1600.0,608.5,150.0,3997.0,4.0,25.0,47.5,28.5,0.8682385683059692,2.8574036881504474,-0.7584856152534485
Brazil,Amazonas,Stable_Forest,-64.26767629835666,-8.058382171958373,2019,68.040428,251.0,247.5,403.5,222.5,665.5,2173.0,2739.0,2905.5,3176.0,3015.5,1366.5,547.0,148.0,3433.5,4.0,23.5,41.5,25.5,0.8577365875244141,2.812074206058065,-0.7561196684837341
Brazil,Amazonas,Stable_Forest,-62.55908062796133,-10.430653174261206,2019,1.3805270195007324,379.0,497.0,735.5,775.0,1525.0,2365.0,2740.5,2401.5,3121.0,2953.0,2930.5,1695.0,73.0,3072.0,4.0,78.5,75.5,52.5,0.5120415687561035,1.2229323308270676,-0.5310806632041931
Brazil,Amazonas,Stable_Forest,-56.55959217144069,-11.150473211426178,2019,2.0144050121307373,517.0,585.0,795.5,1181.0,1488.5,1929.5,2194.0,2259.0,2467.5,2409.0,3921.0,2791.5,63.0,2044.0,5.0,120.5,81.5,59.0,0.31337210536003113,0.5435111424826057,-0.4791291654109955
Brazil,Amazonas,Stable_Forest,-57.974259080872116,-11.023451430251678,2019,60.37526321411133,300.0,327.5,573.5,451.5,1089.5,2043.5,2491.0,2717.5,2819.0,2831.5,2450.5,1416.5,69.5,2798.0,4.0,46.0,58.5,35.0,0.71505206823349,1.9066049642406393,-0.6514737010002136
Brazil,Amazonas,Stable_Forest,-55.196668222374555,-7.358953891742914,2019,5.7353410720825195,238.0,306.0,660.0,398.0,1065.0,2755.0,3307.0,3477.0,3645.0,3466.0,2057.0,933.0,69.0,2933.0,4.0,41.0,70.0,30.0,0.7945806384086609,2.1555586670400446,-0.6809282302856445
Brazil,Amazonas,Stable_Forest,-64.00950048570071,-4.687094742186221,2019,208.041565,243.0,255.0,394.0,247.0,613.0,1905.0,2364.0,2512.0,2720.0,2964.0,1382.0,551.0,168.0,3896.0,4.0,26.0,40.0,25.0,0.8209496140480042,2.719087635054022,-0.7288368940353394
Brazil,Amazonas,Stable_Forest,-57.97345059711641,-5.747825429674553,2019,86.986732,267.5,268.5,481.5,258.5,784.5,2298.5,2908.5,2919.0,3194.0,3494.0,1508.0,640.0,142.0,3523.5,4.0,26.5,49.5,27.5,0.8372934460639954,2.706786041306338,-0.7168063521385193
Brazil,Amazonas,Stable_Forest,-61.742152708583035,-11.469824294930667,2019,1.2719420194625854,566.0,775.5,1162.0,1572.0,2076.5,2591.0,2912.0,3006.0,3371.0,3415.0,4224.0,2749.0,76.0,2868.5,5.0,160.0,118.5,79.0,0.3132372200489044,0.5413159186138689,-0.4424184262752533
